영화명,제작연도,장르
언터처블,1987,"드라마,범죄,스릴러,액션"
레인맨,1987,드라마
동방독응,1987,액션
프린세스 브라이드,1987,"판타지,멜로/로맨스,어드벤처,가족"
정복자 펠레,1987,드라마
용호상조,1987,액션
예스 마담3-중화전사,1987,액션
가면속의 아리아,1987,드라마
검객,1987,드라마
하치 이야기,1987,드라마
개심물어,1987,코미디
거리의 악사,1987,드라마
게릴라,1987,액션
고속도로,1987,드라마
공방살 화녀,1987,사극
귀신랑,1987,코미디
런닝맨,1987,"SF,액션"
라우라,1987,드라마
게이트,1987,공포(호러)
라스트 지고로,1987,드라마
돈 쥬앙,1987,코미디
영웅호한,1987,액션
뉴욕 세남자와 아기,1987,코미디
슈퍼맨 4,1987,"SF,액션"
암스테르담,1987,"스릴러,액션"
히든,1987,SF
마야,1987,드라마
마네킨,1987,"드라마,판타지"
나이트 게임,1987,스릴러
지존애림,1987,"드라마,액션"
외계에서 온 우뢰매 전격 쓰리 작전,1987,"SF,가족"
베를린 천사의 시,1987,"드라마,멜로/로맨스,판타지"
노웨이 아웃,1987,드라마
강호정,1987,액션
스트라이커,1987,액션
더 프리시디오,1987,"액션,스릴러,범죄"
인티와 린다로건,1987,"액션,어드벤처"
노을,1987,드라마
고스트하우스,1987,공포(호러)
홀로코스트,1987,"공포(호러),드라마"
풀 메탈 쟈켓,1987,"전쟁,드라마"
나일의 대모험,1987,"액션,코미디,어드벤처"
아메리칸 드림,1987,드라마
마비취2,1987,액션
아빠셋 엄마하나,1987,"드라마,코미디"
마님,1987,"사극,멜로/로맨스"
후궁한,1987,"드라마,사극"
화랑브이 3총사,1987,"SF,액션"
딱 한번만 만나요,1987,코미디
흑성마왕과 슈퍼왕자,1987,"SF,드라마,액션"
베드룸 윈도우,1987,"미스터리,스릴러"
외계우뢰용,1987,"SF,드라마,애니메이션"
은하에서 온 별똥동자 1,1987,"SF,드라마,애니메이션"
성춘향,1987,"멜로/로맨스,사극"
키위새의 겨울,1987,드라마
그로잉 업 2,1987,드라마
나의 성공의 비밀,1987,코미디
나이트메어3,1987,"공포(호러),스릴러"
난운,1987,"사극,액션"
냉혈자,1987,액션
노세이프,1987,액션
노웨어 하이드,1987,액션
대분노,1987,액션
대야망,1987,액션
더블보더,1987,액션
덫,1987,드라마
독불장군,1987,"드라마,액션,전쟁"
돌쇠바람,1987,"드라마,액션"
돌아이 3,1987,"드라마,액션"
동녀,1987,드라마
디먼러버,1987,"공포(호러),코미디"
떠돌이 까치,1987,"드라마,애니메이션"
뜨겁고 깊은 겨울,1987,드라마
라밤바,1987,드라마
라본느,1987,드라마
라스트 부루스 인 파리,1987,코미디
라스트 타켓,1987,드라마
레인저,1987,액션
레테의 연가,1987,"드라마,멜로/로맨스"
루킹포 아이린,1987,"드라마,스릴러"
리빙데드,1987,"공포(호러),코미디"
리쎌웨폰-인간병기,1987,액션
마고일장,1987,액션
마스터 돌프,1987,"SF,액션"
마카리안고,1987,"SF,드라마"
마피아 대 닌자,1987,"드라마,액션"
매청고사,1987,드라마
메이드인 헤븐,1987,드라마
못다부른 노래님,1987,"드라마,멜로/로맨스"
문스트럭,1987,"드라마,코미디"
물망초,1987,"드라마,멜로/로맨스"
바람부는 날에도 꽃은 피고,1987,"드라마,멜로/로맨스"
바람의 아들,1987,드라마
바바리안,1987,어드벤처
박철수의 헬로 임꺽정,1987,"사극,코미디"
보통녀,1987,드라마
부용진,1987,드라마
불씨,1987,드라마
불이라 불리운 여인,1987,멜로/로맨스
브로드캐스트 뉴스,1987,"드라마,코미디"
블랙 위도우,1987,드라마
블랙이글,1987,액션
블루하트,1987,"드라마,액션,전쟁"
비버리힐스 캅 2,1987,"범죄,스릴러,액션,코미디"
빙해,1987,드라마
성시전사,1987,액션
성향기병 속집,1987,액션
소련 K.G.B,1987,"드라마,스릴러,액션"
슈퍼홍길동,1987,"액션,코미디"
스테이크 아웃,1987,"액션,코미디"
스트립 투킬,1987,드라마
스틸 쟈스티스,1987,액션
시실리안,1987,드라마
신기루,1987,드라마
썬더,1987,"액션,어드벤처"
쓰리포더 로드,1987,코미디
아리수변 꿈나무,1987,"드라마,애니메이션"
아모레미오,1987,드라마
아쿠아리스,1987,"공포(호러),미스터리,스릴러"
악마군단,1987,"공포(호러),코미디"
야누스의 불꽃여자,1987,드라마
양자경 범보,1987,"드라마,코미디"
어맨인 러브,1987,"드라마,멜로/로맨스"
엄마는 외출중,1987,"가족,드라마"
에스포춘,1987,코미디
연산군,1987,사극
영웅무적,1987,액션
영웅사저,1987,"범죄,액션"
영웅투혼,1987,액션
영점구일칠,1987,드라마
영환도사,1987,"공포(호러),코미디"
오버더톱,1987,드라마
요화 어을우동,1987,멜로/로맨스
용호방,1987,"드라마,액션"
월 스트리트,1987,드라마
위치 크랩,1987,공포(호러)
유정,1987,"드라마,멜로/로맨스,사극"
은하에서 온 별똥왕자 2,1987,"SF,액션"
잡초,1987,드라마
정의심,1987,드라마
죽는자를 위한 기도,1987,"드라마,액션"
줄리아 줄리아,1987,드라마
지옥의 링,1987,"드라마,멜로/로맨스"
지젤,1987,드라마
차이나 걸,1987,드라마
천사와 사랑을,1987,코미디
최후의 하이랜더,1987,"SF,액션"
카프리의 깊은밤,1987,드라마
크랙커넥션,1987,액션
팔도쌍나팔,1987,"사극,액션"
팬텀솔져,1987,액션
편귀선생,1987,"공포(호러),판타지"
포리스 마담,1987,액션
푸른계절의 열기,1987,드라마
프레데터,1987,"SF,액션"
프로그램 투 킬,1987,"SF,액션"
프린스 오브 다크니스,1987,"공포(호러),미스터리,스릴러"
학창보고서,1987,드라마
한쪽날개의 천사,1987,드라마
핫스 오브 화이어,1987,드라마
햄버거 힐,1987,"드라마,액션,전쟁"
헬 레이져,1987,"공포(호러),스릴러"
호소자 2,1987,액션
화려한 변신,1987,드라마
화이널 스코어,1987,"범죄,액션,어드벤처,전쟁"
英雄 돌아오다,1987,드라마
007 제15탄 - 리빙 데이라이트,1987,액션
7 소복,1987,액션
87 영자의 전성시대,1987,"드라마,멜로/로맨스"
기동전사 건담 역습의 샤아,1988,애니메이션
사방지,1988,사극
그랑블루 오리지날 리마스터링,1988,드라마
열혈남아,1988,드라마
청춘시대,1988,멜로/로맨스
합궁,1988,사극
홍콩포리스 마담,1988,액션
둥지 속의 철새,1988,멜로/로맨스
프라하의 봄,1988,"드라마,사극"
신룡쌍포,1988,액션
벽력선봉,1988,액션
신경쇠약 직전의 여자,1988,"코미디,드라마"
사랑에 관한 짧은 필름,1988,드라마
살인에 관한 짧은 필름,1988,"범죄,드라마"
의본무언,1988,액션
성공시대,1988,멜로/로맨스
살수특급,1988,액션
붉은 수수밭,1988,"드라마,전쟁"
유 콜 잇 러브,1988,멜로/로맨스
칠수와 만수,1988,드라마
땡큐마담,1988,액션
베어,1988,드라마
개그맨,1988,"드라마,코미디"
미스틱 피자,1988,"드라마,코미디"
시로의 섬,1988,멜로/로맨스
까미유 끌로델,1988,드라마
그녀와 마지막 춤을,1988,멜로/로맨스
칠삭동이의 설중매,1988,드라마
달콤한 신부들,1988,드라마
아스팔트 위의 동키호테,1988,드라마
이장호의 외인구단 2,1988,드라마
대호출격,1988,액션
양리칭의 예스마담,1988,액션
바베트의 만찬,1988,드라마
대행동,1988,액션
폴리스 스토리 2 - 구룡의 눈,1988,"범죄,액션"
조수괴초,1988,액션
빅,1988,"가족,드라마,코미디,판타지"
누가 로저래빗을 모함했나,1988,"가족,미스터리,범죄,스릴러,코미디"
특경도룡,1988,액션
공작왕,1988,"SF,액션"
경망쌍웅,1988,"액션,범죄"
귀타여걸,1988,"액션,판타지"
홍콩 여복성,1988,액션
홈보이,1988,드라마
헬 바운드,1988,"공포(호러),스릴러"
나이트메어 비치,1988,공포(호러)
강시 오복성,1988,"공포(호러),코미디"
강시훈련원,1988,"사극,액션"
고금소총,1988,사극
공자다정,1988,코미디
그 마지막 겨울,1988,멜로/로맨스
그리고 신은 여자를 창조했다,1988,드라마
죽음의 승부,1988,액션
깜동,1988,사극
터커,1988,드라마
공룡시대,1988,"드라마,애니메이션,어드벤처"
사탄,1988,공포(호러)
끝없는 욕망,1988,액션
레비아탄,1988,"SF,공포(호러),스릴러"
글로리아,1988,전쟁
사이공,1988,드라마
하얀 면사포,1988,드라마
워킹걸,1988,"드라마,코미디"
F.B.I 마담,1988,코미디
론리 하트,1988,드라마
더블타켓,1988,"드라마,액션"
더블베드 소동,1988,멜로/로맨스
업,1988,사극
할로윈 데이,1988,"공포(호러),스릴러"
피고인,1988,"드라마,스릴러"
킹 사이즈,1988,"코미디,판타지"
그랑 부르,1988,"드라마,멜로/로맨스"
18 어게인,1988,코미디
드라큐라의 미망인,1988,공포(호러)
레드 스콜피온,1988,액션
로버트스타 짱가,1988,"SF,액션"
유환도사,1988,"공포(호러),액션"
쎄븐싸인,1988,"드라마,스릴러,판타지"
이지 걸,1988,"코미디,뮤지컬,SF"
카사블랑카특급,1988,"액션,전쟁"
예수의 마지막 유혹,1988,드라마
악마의 유희,1988,"공포(호러),스릴러"
폴리스 갱,1988,"액션,범죄"
낙산풍,1988,드라마
뜨겁고 부드럽게,1988,멜로/로맨스
스트라이크 코만도,1988,"액션,전쟁"
사랑하기엔 아직 일러요,1988,"멜로/로맨스,드라마"
범죄와의 전쟁,1988,"액션,범죄"
미스터 트러블,1988,"코미디,드라마"
왁스 웍,1988,"공포(호러),코미디,판타지"
강호영웅,1988,액션
맹귀학당,1988,코미디
쟝 폴 벨몽드의 여정,1988,드라마
엘베의 연인들,1988,멜로/로맨스
엘리베이터를 내려서 왼쪽으로,1988,코미디
이글라,1988,"드라마,스릴러"
죽음과 사랑,1988,"드라마,스릴러"
육과 욕,1988,드라마
폭풍의 월요일,1988,"드라마,범죄"
난 천사가 아니다,1988,액션
히 갓 게임,1988,드라마
기병,1988,"액션,범죄"
새엄마는 외계인,1988,"코미디,가족,SF"
살인주먹,1988,액션
반금련,1988,"드라마,멜로/로맨스,판타지"
태양의 전사,1988,"액션,SF"
죽음의 키스,1988,"드라마,스릴러,미스터리,공포(호러)"
안토니오반데라스의킬러,1988,"범죄,스릴러,액션"
아메리카 아메리카,1988,드라마
호소자 4,1988,액션
바디 투 바디,1988,코미디
윈터피플,1988,멜로/로맨스
우리도 할 말은 있다,1988,드라마
늑대의 호기심이 비둘기를 훔쳤다,1988,"드라마,멜로/로맨스"
영건,1988,액션
게릴라,1988,액션
과부촌,1988,드라마
구룡본색,1988,"드라마,범죄,액션"
구룡신도,1988,액션
나신들,1988,멜로/로맨스
나이트메어 4-꿈의 지배자,1988,"공포(호러),스릴러,코미디,판타지"
노소강호,1988,액션
뉴머신 우뢰메 5탄,1988,"SF,액션"
늑대 7,1988,드라마
다이 하드,1988,액션
담장을 넘은 강아지,1988,드라마
당신은 안개꽃,1988,멜로/로맨스
대남,1988,"드라마,액션"
대장부 일기,1988,코미디
더티러브,1988,드라마
데스티니,1988,드라마
돌아이 4 둔버기,1988,액션
떡,1988,사극
똘똘이 소강시,1988,사극
라스트 플래툰,1988,액션
라이브 캣,1988,드라마
람보 3,1988,액션
레드히트,1988,"액션,코미디"
레벨,1988,드라마
리벤자 특명,1988,액션
리쎌헌터,1988,액션
리틀 베라,1988,드라마
마담갱,1988,"범죄,액션"
마담킬러,1988,액션
마로영웅,1988,액션
맷돌,1988,사극
멋장이 세상,1988,멜로/로맨스
모나코의 깊은밤,1988,드라마
모멘트오브러브,1988,드라마
목밀녀,1988,사극
몽경영웅,1988,액션
문 워커,1988,"SF,액션"
미드나이트런,1988,"액션,코미디"
미리마리 우리두리,1988,"가족,드라마"
바나나 대소동,1988,"액션,코미디"
바이오맨,1988,"SF,액션"
배트 21,1988,"드라마,전쟁"
백사전설,1988,"공포(호러),미스터리,판타지"
백야의 탈출,1988,액션
벨트,1988,드라마
벽속의 부인,1988,멜로/로맨스
보릿고개,1988,멜로/로맨스
복수의 만가,1988,액션
부귀병단,1988,코미디
블릿 프루프,1988,액션
빠걸,1988,멜로/로맨스
빨간앵두 4,1988,멜로/로맨스
사랑의 낙서,1988,드라마
산배암,1988,멜로/로맨스
살사댄싱,1988,드라마
성야,1988,멜로/로맨스
슈퍼홍길동2-공초 도사와 슈퍼 홍길동,1988,"사극,코미디"
스캐빈져,1988,드라마
스파크맨(Spark Man),1988,"SF,액션"
슬램,1988,드라마
시티워,1988,액션
신 아리바바,1988,"액션,어드벤처"
실종장부,1988,"드라마,스릴러"
싸이보그,1988,"SF,액션"
싸이탄,1988,공포(호러)
썸머 스토리,1988,멜로/로맨스
안개도시,1988,멜로/로맨스
액션 U.S.A,1988,액션
어른들은 몰라요,1988,드라마
얼굴없는 암살자,1988,"드라마,스릴러,액션,전쟁"
에잇 해피니스,1988,드라마
여걸풍운,1988,"드라마,범죄,액션"
엽응계획,1988,"드라마,범죄,액션"
영웅대도,1988,액션
영웅복성,1988,액션
영웅우상,1988,액션
영환선생 4,1988,공포(호러)
영환소저,1988,공포(호러)
"오성군,한음군",1988,드라마
오야천사,1988,액션
외계번개용,1988,"SF,액션"
외계인 코브라,1988,"SF,액션"
요화경,1988,사극
욕,1988,멜로/로맨스
용의 가족,1988,액션
용호취,1988,"드라마,액션"
우견아랑,1988,드라마
운전면허,1988,"드라마,코미디"
윌로우,1988,"SF,액션"
육보단,1988,드라마
은하에서 온 별똥왕자 3,1988,"SF,액션"
응소여랑,1988,드라마
이조춘화도,1988,"멜로/로맨스,사극"
일레븐데이 일레븐나잇,1988,드라마
장단각지연,1988,"드라마,코미디"
재견지옥,1988,드라마
접시꽃 당신,1988,멜로/로맨스
제2의 성,1988,멜로/로맨스
제일척 강시,1988,공포(호러)
지금은 양지,1988,드라마
지리산의 성난 토끼들,1988,"드라마,전쟁"
지옥의 코만도,1988,"액션,어드벤처,전쟁"
철갑무적마리아,1988,액션
총알탄 사나이,1988,코미디
최후태감,1988,"사극,코미디"
침묵의 암살자,1988,액션
카멜레온의 시,1988,멜로/로맨스
카운터포스,1988,"드라마,액션"
칵테일,1988,드라마
캠퍼스 연애특강,1988,드라마
콜미,1988,드라마
콰이강의 다리 2,1988,드라마
크레이지보이 러브호텔,1988,"드라마,코미디"
크로커다일 던디2,1988,"액션,코미디"
킬 나이트,1988,공포(호러)
타버린 비밀,1988,드라마
타이거 월샤,1988,드라마
터프러버,1988,코미디
테네시 벅크,1988,코미디
토스카니니,1988,드라마
투 문 정션,1988,드라마
트로마스워,1988,"스릴러,액션,어드벤처"
트윈스,1988,코미디
팁,1988,멜로/로맨스
펌프킨 헤드,1988,공포(호러)
페이스레스,1988,"공포(호러),미스터리,스릴러"
풀잎사랑,1988,멜로/로맨스
프라이스레스 뷰티,1988,"드라마,판타지"
피카소 트리거,1988,액션
필사의 도망자,1988,멜로/로맨스
하드 카버,1988,공포(호러)
한나스 워,1988,드라마
햄버거 쟈니,1988,"드라마,멜로/로맨스"
헬로강시,1988,"공포(호러),코미디"
혈의천사,1988,드라마
혈전자,1988,액션
호소자 3-고아유랑기,1988,액션
호소자 5,1988,액션
호호전,1988,사극
화려한 살인,1988,"드라마,스릴러"
화중선,1988,드라마
화춘,1988,멜로/로맨스
환타즘 2,1988,"공포(호러),스릴러"
황가마담,1988,액션
회장님 우리회장님,1988,코미디
후궁별곡,1988,사극
후로마부인과 두남편,1988,드라마
흑도영웅,1988,"드라마,범죄"
19번째 남자,1988,"드라마,코미디"
비정성시,1989,드라마
프란체스코,1989,드라마
로메로,1989,드라마
금연자,1989,"액션,어드벤처,멜로/로맨스"
분노는 오렌지같이 파랗다,1989,"액션,스릴러,범죄"
신사동 제비,1989,멜로/로맨스
배트맨,1989,액션
몬트리올 예수,1989,드라마
행복은 성적순이 아니잖아요,1989,드라마
아제아제 바라아제,1989,드라마
폭소무적,1989,코미디
심연,1989,"SF,드라마,스릴러,액션,어드벤처"
빽 투 더 퓨쳐 2,1989,"SF,액션,어드벤처,코미디"
달마가 동쪽으로 간 까닭은?,1989,드라마
매화방 천둥불,1989,"멜로/로맨스,사극"
실베스타스텔론의 탈옥,1989,"드라마,범죄,스릴러,액션,어드벤처"
멤피스 벨,1989,"액션,전쟁"
불같은 약속,1989,"범죄,스릴러,액션"
사랑의 행로,1989,"드라마,멜로/로맨스"
인어공주,1989,"애니메이션,멜로/로맨스,가족,뮤지컬"
쫄병수첩,1989,드라마
밀월,1989,드라마
그후로도 오랫동안,1989,멜로/로맨스
스위티,1989,"코미디,드라마"
나의 왼발,1989,드라마
상처,1989,멜로/로맨스
추락하는 것은 날개가 있다,1989,멜로/로맨스
비 오는 날 수채화,1989,"드라마,멜로/로맨스"
직격증인,1989,"범죄,액션"
흑우: 블랙레인,1989,"드라마,범죄,액션"
강시선생 -일미도인,1989,"공포(호러),코미디"
지존애림2,1989,액션
땡큐마담 2,1989,액션
얼지마 죽지마 부활할거야,1989,드라마
성룡의 미라클,1989,"범죄,액션,코미디"
용행천하,1989,액션
겨울 54,1989,드라마
꿈의 구장,1989,"드라마,가족,판타지"
개목걸이,1989,"액션,스릴러,SF"
흑사회,1989,"드라마,범죄"
해피 투게더,1989,코미디
프랜서,1989,드라마
간통,1989,멜로/로맨스
강남 꽃순이,1989,멜로/로맨스
강시소야,1989,"공포(호러),코미디"
건드리지 좀 마,1989,액션
파워게임,1989,액션
광천용호투,1989,액션
구룡대부,1989,액션
구천동 화방,1989,사극
군룡희봉,1989,"드라마,액션"
굿모닝 대통령,1989,드라마
귀여운 여도적,1989,"드라마,범죄"
진가락,1989,액션
만종,1989,"드라마,전쟁"
마담 엠마,1989,"액션,드라마,범죄,스릴러"
인디아나 존스 : 최후의 성전,1989,"액션,어드벤처"
이탈자,1989,액션
오색의 전방,1989,"멜로/로맨스,코미디"
껄덕쇠,1989,사극
고스트 바스터즈 2,1989,"SF,공포(호러),코미디"
복수,1989,액션
에디,1989,드라마
집시,1989,드라마
어벤저,1989,액션
울고 싶어라,1989,드라마
시라노,1989,드라마
집행자,1989,드라마
택시 블루스,1989,드라마
막달리나,1989,드라마
이웃집 남자,1989,멜로/로맨스
노란집,1989,드라마
종자골,1989,사극
정전자,1989,"액션,코미디"
슈퍼 트릭,1989,스릴러
크라이막스 원,1989,멜로/로맨스
돌프룬드 그랜의 퍼니셔,1989,액션
영원한 사랑,1989,"공포(호러),드라마"
부룩크린으로 가는 마지막 비상구,1989,드라마
발몽,1989,"멜로/로맨스,드라마"
로드 하우스,1989,"드라마,액션"
제3세대 우뢰메 6,1989,"SF,액션"
성항기병 3 : 홍콩탈출,1989,"범죄,액션"
지존소자,1989,"코미디,액션"
빨간 색깔의 여자,1989,"드라마,멜로/로맨스"
무사,1989,액션
시비시비,1989,"전쟁,드라마"
미스터 코코낫,1989,"코미디,드라마"
캠퍼스 연애 소동,1989,코미디
영웅대가,1989,"액션,드라마"
애욕의 흔적,1989,스릴러
웰컴 홈,1989,드라마
신부는 왼손잡이,1989,"코미디,드라마"
나의 사랑 세실리아,1989,"드라마,멜로/로맨스"
A.F.T의 학살,1989,액션
욕망의 교차로,1989,드라마
폭풍소년,1989,액션
벨을 두 번 누른 여자,1989,"드라마,스릴러"
불멸의 열정,1989,드라마
대두병 집합,1989,"액션,SF"
사랑의 본능,1989,드라마
하이더 인더 하우스,1989,스릴러
블루엔젤,1989,드라마
엑설런트 어드벤처,1989,"SF,어드벤처,코미디"
차이나 크라이,1989,드라마
이혼녀수잔,1989,드라마
성스러운 피,1989,"공포(호러),드라마,미스터리,스릴러"
동정없는 세상,1989,"드라마,코미디"
프랑스 대혁명,1989,"드라마,사극,전쟁"
무림무적,1989,코미디
마틴 기어의 귀향,1989,"드라마,멜로/로맨스"
요화궁,1989,사극
워락,1989,"공포(호러),액션"
신 개인교수,1989,"드라마,멜로/로맨스"
헨리 5세,1989,"액션,드라마,전쟁"
애사당 홍도,1989,"멜로/로맨스,사극"
천라지망,1989,"액션,범죄"
사랑의 화신,1989,멜로/로맨스
성시판관,1989,"액션,범죄"
암스테르담의 소녀,1989,"드라마,스릴러"
하드웨어 싸이보그,1989,"액션,공포(호러),SF"
암흑가의 형제들,1989,"액션,범죄"
나체촌,1989,드라마
또마,1989,"액션,범죄"
니키와 지노,1989,드라마
영혼의 목걸이,1989,공포(호러)
3인의 약혼녀,1989,"드라마,코미디"
유협아,1989,드라마
봉황왕,1989,"액션,판타지"
내겐 너무 이쁜 당신,1989,"코미디,멜로/로맨스"
팬시댄스,1989,코미디
야바,1989,드라마
삼국지,1989,"사극,전쟁"
아낌없이 주련다,1989,멜로/로맨스
대형대부,1989,액션
여경특공대,1989,액션
회춘녀,1989,"멜로/로맨스,사극"
25불의 인간,1989,"드라마,멜로/로맨스"
구로 아리랑,1989,드라마
경찰+칠득이와 너털도사,1989,"액션,코미디"
나이트메어 5-꿈꾸는 아이들,1989,공포(호러)
내사랑 동키호테,1989,드라마
내친구 제제,1989,"가족,드라마"
누가 꽃밭에 불을 지르랴,1989,"드라마,미스터리"
다크엔젤,1989,"SF,스릴러,액션"
닥터지킬,1989,공포(호러)
단단한 놈,1989,"드라마,멜로/로맨스"
달리는 도시,1989,"드라마,멜로/로맨스"
달아난 말,1989,멜로/로맨스
담다디,1989,드라마
대마왕과 3세강시,1989,"공포(호러),코미디,판타지"
대부양위,1989,액션
더플라이 2,1989,"SF,공포(호러)"
도시의 아이들,1989,"드라마,액션"
들병이,1989,"멜로/로맨스,사극"
딥 식스,1989,"SF,공포(호러),스릴러"
랏슈,1989,드라마
러브헌팅,1989,코미디
레니 게이드,1989,액션
로말드와 쥬리엣,1989,"드라마,코미디"
로얄포리스 마담,1989,"범죄,액션"
로즈킬러,1989,액션
루안살성,1989,드라마
마루타,1989,"드라마,전쟁"
마리화나,1989,드라마
마이키이야기,1989,코미디
마지막 귀족,1989,드라마
메이저리그,1989,코미디
모래성,1989,멜로/로맨스
못먹어도 고,1989,멜로/로맨스
묘탐쌍웅,1989,액션
물의나라,1989,"드라마,멜로/로맨스"
뮤직박스,1989,드라마
미쓰코뿔소 미스터코란도,1989,드라마
발바리의 추억,1989,"드라마,멜로/로맨스"
밤마다 우는 뻐꾸기,1989,멜로/로맨스
밥풀때기 형사와 쌍라이트,1989,"액션,코미디"
벌거벗은 분노,1989,"드라마,멜로/로맨스"
베스트 오브더 베스트,1989,액션
부시맨 2,1989,코미디
불여우,1989,"드라마,멜로/로맨스"
불의 나라,1989,멜로/로맨스
불화살,1989,"멜로/로맨스,사극"
빅보스,1989,"범죄,액션"
빨간 여배우,1989,멜로/로맨스
빨강바다,1989,"드라마,멜로/로맨스"
사대영웅,1989,액션
사랑의 파도,1989,드라마
사저출마,1989,드라마
살수천사,1989,액션
살인마 잠비3,1989,공포(호러)
삼토스와 댕기똘이,1989,"드라마,액션"
새벽외출,1989,"드라마,멜로/로맨스"
새벽을 깨우리로다,1989,멜로/로맨스
새앙쥐 상륙작전,1989,드라마
서울 무지개,1989,드라마
서울공주,1989,멜로/로맨스
슈퍼 홍길동 3,1989,"사극,코미디"
신 유환도사,1989,"공포(호러),코미디"
쌍용번개,1989,액션
아메리칸 닌자 3,1989,액션
아웃 온 베일,1989,"액션,어드벤처"
"앗싸,호랑나비",1989,"드라마,코미디"
애들이 줄었어요,1989,"SF,코미디"
애란,1989,"멜로/로맨스,사극"
야격정,1989,멜로/로맨스
양귀비의 후예들,1989,"멜로/로맨스,사극"
여감풍운,1989,액션
여인 파티,1989,드라마
여전사,1989,액션
영구와 땡칠이,1989,"드라마,코미디"
영구와 땡칠이 소림사가다,1989,"가족,드라마,액션,코미디"
영웅대형,1989,액션
영웅출격,1989,"드라마,액션"
영환동자,1989,"액션,판타지"
예스 마담4-직격증인,1989,액션
외계인과 콩콩강시,1989,"SF,코미디"
용지쟁패,1989,"범죄,액션"
우담바라,1989,드라마
우리들의 친구 파워 5,1989,"SF,액션"
위슬리 전기,1989,드라마
유금세월,1989,드라마
유아독존,1989,"드라마,액션"
유혹은 밤그림자처럼,1989,드라마
육담구담,1989,멜로/로맨스
응징자,1989,액션
의본대형,1989,"범죄,액션"
인신매매,1989,"드라마,멜로/로맨스"
인터걸,1989,드라마
일본대부,1989,액션
잠자리에 들시간,1989,"드라마,멜로/로맨스"
장미속의 살모사,1989,"멜로/로맨스,사극"
장미의 전쟁,1989,드라마
잦은 방아,1989,멜로/로맨스
재기풍운,1989,액션
쟈니핸섬,1989,"드라마,범죄"
적 그리고 사랑이야기,1989,"드라마,코미디"
전설철인 키메랑,1989,"SF,액션"
죄없는 병사들,1989,"드라마,전쟁"
주윤발의 행운의 별,1989,코미디
지존무상,1989,"드라마,액션"
진용,1989,"사극,판타지"
창부일색,1989,멜로/로맨스
천국의 비밀,1989,드라마
첩혈전사,1989,액션
청옥불,1989,"액션,판타지"
최가박당5-신최가박당,1989,"액션,어드벤처,코미디"
추억의 이름으로,1989,멜로/로맨스
춘화춘풍,1989,"멜로/로맨스,사극"
칠색조,1989,"드라마,멜로/로맨스"
카프리의 깊은밤 2,1989,드라마
캣헌터,1989,"스릴러,액션"
크리미날로,1989,"드라마,스릴러"
타이거맨,1989,액션
태권 소년 어니와 마스타 김,1989,액션
탱고와 캐쉬,1989,"액션,코미디"
테크닉 2,1989,드라마
투사의 영광,1989,"SF,액션"
트라이 앵글,1989,"드라마,전쟁"
트라이엄프,1989,드라마
파행,1989,멜로/로맨스
패밀리 비즈니스,1989,"범죄,코미디"
포리스 마담 2,1989,액션
포리스 엔젤 마담,1989,액션
포리스우먼,1989,"범죄,액션"
폴리스 맨,1989,액션
폴리스우먼 2,1989,액션
풍운인물,1989,액션
프린세스 마담,1989,"범죄,액션"
피부 깊숙히,1989,코미디
헐크호건의 죽느냐 사느냐,1989,드라마
혈전영웅,1989,액션
호기심에 대하여,1989,"멜로/로맨스,코미디"
호담맹장,1989,액션
호소자 6,1989,"액션,코미디"
홍금보의 방삼표,1989,코미디
홍콩엔젤킬러,1989,액션
황가 특공대,1989,액션
회색도시 2,1989,"멜로/로맨스,액션"
흑전사,1989,"범죄,액션"
007 살인면허,1989,"드라마,범죄,스릴러,액션"
7월 4일생,1989,"드라마,전쟁"
8번가의 기적,1989,"SF,코미디,판타지"
89 인간시장 오 하나님,1989,드라마
독재 소공화국,1990,드라마
천장지구,1990,액션
부활의 노래,1990,드라마
폭풍의 질주,1990,드라마
신의 이방인,1990,공포(호러)
닥터엠,1990,"SF,공포(호러),미스터리,범죄"
귀경출사,1990,"코미디,액션,범죄"
어머니 나를 다시 사랑해주세요,1990,드라마
지존무명,1990,코미디
그래 가끔 하늘을 보자,1990,드라마
새벽에서 밤까지,1990,멜로/로맨스
나는 날마다 일어선다,1990,드라마
니키타,1990,액션
욕망의 낮과 밤,1990,"드라마,멜로/로맨스,범죄"
나홀로 집에,1990,"가족,스릴러,어드벤처,코미디"
사랑은 지금부터 시작이야,1990,드라마
성전강호,1990,"코미디,액션,범죄"
햄릿,1990,"드라마,사극"
꼴찌부터 일등까지 우리반을 찾습니다,1990,드라마
빽 투 더 퓨쳐 3,1990,"SF,코미디,어드벤처"
죽어도 좋은 경험: 천사여 악녀가 되라,1990,"드라마,미스터리"
있잖아요 비밀이에요,1990,드라마
파업전야,1990,드라마
영심이,1990,드라마
꿈,1990,"멜로/로맨스,사극"
사랑의 기적,1990,드라마
델타포스2,1990,"액션,범죄"
아무도 모르게,1990,드라마
여군외출,1990,드라마
홍두깨,1990,"멜로/로맨스,사극"
마유미,1990,드라마
남부군,1990,"드라마,사극,전쟁"
너에게로 또다시,1990,멜로/로맨스
그들도 우리처럼,1990,드라마
"나의 사랑, 나의 신부",1990,"드라마,코미디"
땡칠이와 쌍라이트,1990,"SF,코미디"
소오강호,1990,"SF,액션"
단지 그대가 여자라는 이유만으로,1990,"드라마,멜로/로맨스,범죄"
